"","Cell.Type","estimate","conf.low","conf.high","p.value","or","lower","upper"
"1","Fetal Mesenchymal Stem Cells",-0.145587521370052,-0.20501440313961,-0.0861606396004949,1.5737399290251e-06,0.864514223293519,0.814635583016883,0.917446841088094
"2","Fetal CD14+ Monocytes",-0.0183102291395724,-0.167906661776895,0.131286203497751,0.810411898330499,0.981856384644053,0.845432742191969,1.14029409077155
"3","Fetal CD8+ Cytotoxic T Cells",0.00788639336531062,-0.13028464449328,0.146057431223901,0.910927327597634,1.0079175728762,0.877845521460939,1.15726264915262
"4","Fetal Naive CD8+ T Cells",-0.218523500271874,-0.375780740793103,-0.0612662597506441,0.00645841491503826,0.803704591946309,0.68675289343057,0.940572769761308
"5","Fetal Natural Killer T Cells",0.109717391504674,-0.0601806113879613,0.279615394397309,0.205615799889512,1.11596264536602,0.941594455544183,1.32262102704563
"6","Fetal Cytotrophoblasts",0.0491357540304252,0.00120219591550961,0.0970693121453408,0.0445243251136374,1.05036293206325,1.00120291884269,1.1019367485742
"7","Fetal GZMK+ Natural Killer",-0.00584519354331645,-0.169472748819041,0.157782361732408,0.944181790976751,0.994171856364285,0.844109757154678,1.17091133186095
"8","Fetal Memory CD4+ T Cells",0.277223831499443,0.154040134326468,0.400407528672417,1.02950517265009e-05,1.31946167506974,1.166537704044,1.49243278287745
"9","Fetal Hofbauer Cells",-0.117197346530206,-0.173205910184541,-0.0611887828758708,4.11004968209581e-05,0.889409653933817,0.840964433873601,0.940645645223051
"10","Fetal Plasmacytoid Dendritic Cells",-0.00585372273199664,-0.0811138186041974,0.0694063731402041,0.878835333839106,0.994163376921103,0.922088734618981,1.07187170052519
"11","Fetal GZMB+ Natural Killer",0.00622853668005922,-0.0351088570849404,0.0475659304450588,0.76775039238133,1.00624797434977,0.965500308987689,1.04871534111122
"12","Fetal Endothelial Cells",0.018401568622462,-0.0225202022795275,0.0593233395244515,0.378128292625391,1.01857192079779,0.977731484589059,1.06111828675923
"13","Fetal Syncytiotrophoblast",0.0171773796393704,-0.0394142752932716,0.0737690345720125,0.551902403931883,1.01732575919814,0.961352362107646,1.07655812907046
"14","Fetal Fibroblasts",-0.204782598644543,-0.314773741142699,-0.0947914561463868,0.000263180772964678,0.814824441095098,0.729954014147296,0.909562598380291
"15","Fetal Nucleated Red Blood Cells",0.0535122400440987,-0.0394566879391025,0.1464811680273,0.259260358827253,1.05496990456672,0.961311589475037,1.15775312783786
"16","Fetal Proliferative Cytotrophoblasts",-0.00393629451389107,-0.197966168631167,0.190093579603385,0.968282955583585,0.996071442538258,0.820397607842399,1.20936276404994
"17","Maternal CD8+ Cytotoxic T Cells",0.123408968814735,-0.0510308427269856,0.297848780356456,0.165565707013643,1.13134701199494,0.950249361798814,1.34695808595645
"18","Maternal Naive CD4+ T Cells",-0.0225992689969992,-0.0910468018315916,0.0458482638375933,0.517554415835601,0.97765418162609,0.912974980998047,1.0469155439573
"19","Maternal FCGR3A+ Monocytes",0.0414559878134999,-0.0224595473974929,0.105371523024493,0.203641844334501,1.04232728573903,0.977790790575499,1.11112334158583
"20","Maternal CD14+ Monocytes",-0.0071881982614242,-0.167841020278328,0.15346462375548,0.930118299772097,0.992837575044181,0.845488239485547,1.16586654241269
"21","Maternal Natural Killer Cells",-0.155506223766013,-0.287871295860988,-0.0231411516710392,0.0213001751590889,0.85598174948223,0.74985809586931,0.977124551275579
"22","Maternal B Cells",-0.095812836995117,-0.175385915483591,-0.0162397585066426,0.0182766409997343,0.908634062836517,0.839133123809529,0.983891395442279
"23","Maternal Plasma Cells",0.145564540490294,0.0616193327324484,0.229509748248139,0.000677167321054892,1.15669238566684,1.06355740616781,1.25798313029523
"24","Maternal Naive CD8+ T Cells",-0.045112989240712,-0.0962777268643615,0.00605174838293757,0.0839631119751711,0.955889470505679,0.908211746238814,1.00607009720767
"25","Fetal Extravillous Trophoblasts",0.275867517357782,0.130683005951228,0.421052028764336,0.000195966358619782,1.31767328362493,1.13960647557843,1.52356354547531
